Student ID,Name,Verified Python Score,Verified SQL Score,Verified ML Score,Communication Score,Aptitude Score,Project Count,Internship Count,CGPA
1,Uma Davis,78,91,68,64,92,4,0,5.8
2,Alice Anderson,58,62,50,60,73,4,3,5.7
3,Hannah Taylor,42,61,92,51,73,3,1,6.1
4,Evan Davis,99,60,72,61,71,4,3,5.1
5,Victor Clark,66,98,81,77,65,5,1,8.9
6,Charlie Rodriguez,90,83,94,52,86,2,2,5.9
7,Nina Johnson,78,57,43,74,63,1,1,6.5
8,Alice Brown,92,41,59,77,96,3,2,8.0
9,George Taylor,47,86,74,63,66,3,1,8.3
10,Quinn Lewis,41,45,93,91,53,5,0,9.8
11,Alice Clark,65,83,73,59,85,5,2,9.6
12,George Clark,47,53,62,89,70,4,1,7.7
13,Nina Taylor,63,65,64,94,90,4,2,5.8
14,Oscar Rodriguez,64,46,48,73,50,3,3,5.0
15,Ian Smith,50,90,56,57,84,2,0,8.0
16,Yara Wilson,81,78,97,90,77,0,3,7.2
17,Wendy Martin,72,87,94,72,73,4,2,8.0
18,Kevin Anderson,61,66,74,50,84,4,2,8.6
19,Evan Moore,40,44,65,63,88,2,0,8.6
20,Yara Jackson,65,81,99,62,81,0,3,7.8
21,Diana Brown,43,69,76,72,88,4,2,8.8
22,Mike Davis,75,52,71,56,71,3,1,8.1
23,Laura White,96,92,45,77,77,3,3,7.1
24,Tina Anderson,50,97,94,77,74,5,0,6.4
25,Zack Johnson,66,96,91,62,90,2,2,5.8
26,Xavier Garcia,66,48,76,82,91,3,3,9.7
27,Rachel Davis,93,71,71,73,90,3,0,5.3
28,Mike Brown,97,91,51,88,51,2,0,5.7
29,Rachel Thomas,95,56,98,98,51,1,3,5.3
30,Uma Lewis,76,71,72,50,68,5,1,7.7
31,Laura Rodriguez,65,71,45,81,53,2,3,6.2
32,George Brown,77,63,44,83,55,5,2,9.1
33,Bob Taylor,55,72,48,55,65,4,2,8.0
34,Yara Thomas,98,75,58,75,52,2,3,8.2
35,Charlie Taylor,91,80,72,89,88,1,3,5.7
36,Diana Harris,67,96,64,99,72,5,1,6.3
37,Ian Garcia,99,55,65,97,98,1,0,5.5
38,Uma White,51,44,76,81,58,0,2,8.5
39,Fiona White,55,42,59,73,82,3,2,9.7
40,Laura Moore,75,77,79,69,84,5,0,8.3
41,Victor Anderson,68,57,85,67,51,5,2,8.3
42,Wendy Brown,80,75,72,53,82,5,0,5.9
43,Tina Wilson,95,47,46,52,66,0,3,5.5
44,Rachel Taylor,90,61,94,71,95,5,1,9.9
45,Fiona Garcia,90,93,47,76,76,1,0,7.5
46,Mike Anderson,67,86,72,54,97,2,3,5.1
47,Uma Clark,88,56,83,77,79,4,1,9.6
48,Hannah Jackson,74,99,80,86,73,4,0,7.8
49,Yara Johnson,70,74,99,82,70,0,3,7.4
50,Hannah Johnson,57,64,81,80,52,5,3,6.0
51,Zack Jackson,86,61,62,51,76,1,1,6.6
52,Mike Anderson,79,72,48,92,97,4,1,9.0
53,Charlie Moore,74,89,64,73,62,3,1,5.0
54,Sam Jackson,75,84,59,50,57,5,3,5.3
55,George Martinez,90,62,54,77,83,1,3,7.9
56,Mike Garcia,61,90,64,71,71,0,3,5.2
57,Evan Anderson,54,93,82,86,82,4,3,6.1
58,Evan Taylor,44,78,43,55,94,3,1,7.7
59,Xavier Clark,94,79,91,65,62,1,3,8.6
60,Rachel Anderson,58,56,95,68,77,1,2,6.3
