candidate_id,name,skills,years_experience,education,certifications
10000,Hank 0,"Docker,C#,PowerBI,Data Analysis,AWS,Kubernetes",10.0,Master's,2
10001,Bob 1,"Kubernetes,Git,Data Analysis,C#,C++",9.0,Bachelor's,1
10002,Frank 2,"Kubernetes,Data Analysis,Git,C#,Java",6.0,Bachelor's,1
10003,Ivy 3,"Azure,C#,Python",2.0,Bachelor's,3
10004,Diana 4,"Data Analysis,SQL,PowerBI,Azure",8.0,Master's,0
10005,Frank 5,"Kubernetes,Data Analysis,SQL,GCP,C#,Git,Azure",0.0,Master's,1
10006,Hank 6,"GCP,React,Node.js,Machine Learning,Data Analysis,Tableau,Azure",9.0,Bachelor's,2
10007,Grace 7,"Docker,AWS,Kubernetes,Git,SQL,Data Analysis,Python",5.0,Bachelor's,0
10008,Eve 8,"Node.js,GCP,Tableau",6.0,PhD,3
10009,Frank 9,"Kubernetes,C#,Machine Learning",1.0,Bachelor's,0
10010,Frank 10,"Git,Tableau,C#,Azure",7.0,Bachelor's,0
10011,Alice 11,"Data Analysis,Azure,Java,Kubernetes,PowerBI",1.0,Bachelor's,3
10012,Bob 12,"Tableau,Python,C++",3.0,Bachelor's,0
10013,Jack 13,"Azure,Docker,C++,GCP,Java",5.0,Bachelor's,0
10014,Grace 14,"C#,Node.js",5.0,Bachelor's,0
10015,Jack 15,"Data Analysis,Java,Docker,Node.js,GCP,C++,SQL,React",7.0,Master's,0
10016,Hank 16,"Java,AWS,GCP",4.0,None,3
10017,Eve 17,"AWS,Git,Docker",0.0,Bachelor's,0
10018,Frank 18,"GCP,Kubernetes,Docker,SQL,React,C#",8.0,Bachelor's,3
10019,Bob 19,"Docker,Git,PowerBI,Java,Azure,GCP",4.0,Master's,1
10020,Hank 20,"C#,Azure,Data Analysis,C++,Kubernetes",1.0,Bachelor's,1
10021,Alice 21,"GCP,Java,SQL,Tableau",10.0,Bachelor's,0
10022,Jack 22,"C#,PowerBI,React,Kubernetes",2.0,Bachelor's,2
10023,Diana 23,Tableau,8.0,Master's,3
10024,Diana 24,"Tableau,AWS,Java,SQL,GCP,React,Azure",7.0,Master's,2
10025,Frank 25,"Git,PowerBI,Azure,SQL,C#,Kubernetes,C++,GCP",8.0,None,1
